Sexo,Edad simple,Periodo,Total
Mujeres,Todas las edades,1 de enero de 2024,24595055
Mujeres,0 anos,1 de enero de 2024,155220
Mujeres,1 ano,1 de enero de 2024,163538
Mujeres,2 anos,1 de enero de 2024,167577
Mujeres,3 anos,1 de enero de 2024,173838
Mujeres,4 anos,1 de enero de 2024,183217
Mujeres,5 anos,1 de enero de 2024,192958
Mujeres,6 anos,1 de enero de 2024,205056
Mujeres,7 anos,1 de enero de 2024,216372
Mujeres,8 anos,1 de enero de 2024,222383
Mujeres,9 anos,1 de enero de 2024,225982
Mujeres,10 anos,1 de enero de 2024,224229
Mujeres,11 anos,1 de enero de 2024,236390
Mujeres,12 anos,1 de enero de 2024,242288
Mujeres,13 anos,1 de enero de 2024,248041
Mujeres,14 anos,1 de enero de 2024,251167
Mujeres,15 anos,1 de enero de 2024,262548
Mujeres,16 anos,1 de enero de 2024,253558
Mujeres,17 anos,1 de enero de 2024,252552
Mujeres,18 anos,1 de enero de 2024,251778
Mujeres,19 anos,1 de enero de 2024,253698
Mujeres,20 anos,1 de enero de 2024,254028
Mujeres,21 anos,1 de enero de 2024,247434
Mujeres,22 anos,1 de enero de 2024,249814
Mujeres,23 anos,1 de enero de 2024,253824
Mujeres,24 anos,1 de enero de 2024,252390
Mujeres,25 anos,1 de enero de 2024,247561
Mujeres,26 anos,1 de enero de 2024,255344
Mujeres,27 anos,1 de enero de 2024,255742
Mujeres,28 anos,1 de enero de 2024,258250
Mujeres,29 anos,1 de enero de 2024,263026
Mujeres,30 anos,1 de enero de 2024,270992
Mujeres,31 anos,1 de enero de 2024,279187
Mujeres,32 anos,1 de enero de 2024,277585
Mujeres,33 anos,1 de enero de 2024,282481
Mujeres,34 anos,1 de enero de 2024,287890
Mujeres,35 anos,1 de enero de 2024,292965
Mujeres,36 anos,1 de enero de 2024,296818
Mujeres,37 anos,1 de enero de 2024,304217
Mujeres,38 anos,1 de enero de 2024,312907
Mujeres,39 anos,1 de enero de 2024,323952
Mujeres,40 anos,1 de enero de 2024,333122
Mujeres,41 anos,1 de enero de 2024,349841
Mujeres,42 anos,1 de enero de 2024,362233
Mujeres,43 anos,1 de enero de 2024,377921
Mujeres,44 anos,1 de enero de 2024,386889
Mujeres,45 anos,1 de enero de 2024,401295
Mujeres,46 anos,1 de enero de 2024,403880
Mujeres,47 anos,1 de enero de 2024,410997
Mujeres,48 anos,1 de enero de 2024,405971
Mujeres,49 anos,1 de enero de 2024,403455
Mujeres,50 anos,1 de enero de 2024,392618
Mujeres,51 anos,1 de enero de 2024,391046
Mujeres,52 anos,1 de enero de 2024,384599
Mujeres,53 anos,1 de enero de 2024,379387
Mujeres,54 anos,1 de enero de 2024,375171
Mujeres,55 anos,1 de enero de 2024,372361
Mujeres,56 anos,1 de enero de 2024,374890
Mujeres,57 anos,1 de enero de 2024,364839
Mujeres,58 anos,1 de enero de 2024,362466
Mujeres,59 anos,1 de enero de 2024,366559
Mujeres,60 anos,1 de enero de 2024,347774
Mujeres,61 anos,1 de enero de 2024,336543
Mujeres,62 anos,1 de enero de 2024,327992
Mujeres,63 anos,1 de enero de 2024,328271
Mujeres,64 anos,1 de enero de 2024,317980
Mujeres,65 anos,1 de enero de 2024,310313
Mujeres,66 anos,1 de enero de 2024,302263
Mujeres,67 anos,1 de enero de 2024,280634
Mujeres,68 anos,1 de enero de 2024,272039
Mujeres,69 anos,1 de enero de 2024,259140
Mujeres,70 anos,1 de enero de 2024,256846
Mujeres,71 anos,1 de enero de 2024,253015
Mujeres,72 anos,1 de enero de 2024,236970
Mujeres,73 anos,1 de enero de 2024,229205
Mujeres,74 anos,1 de enero de 2024,236588
Mujeres,75 anos,1 de enero de 2024,244337
Mujeres,76 anos,1 de enero de 2024,220481
Mujeres,77 anos,1 de enero de 2024,208222
Mujeres,78 anos,1 de enero de 2024,213423
Mujeres,79 anos,1 de enero de 2024,198768
Mujeres,80 anos,1 de enero de 2024,191249
Mujeres,81 anos,1 de enero de 2024,159948
Mujeres,82 anos,1 de enero de 2024,143117
Mujeres,83 anos,1 de enero de 2024,169852
Mujeres,84 anos,1 de enero de 2024,108317
Mujeres,85 anos,1 de enero de 2024,116428
Mujeres,86 anos,1 de enero de 2024,122973
Mujeres,87 anos,1 de enero de 2024,125604
Mujeres,88 anos,1 de enero de 2024,110932
Mujeres,89 anos,1 de enero de 2024,99317
Mujeres,90 y mns anos,1 de enero de 2024,418177
